alpha_label,lambda_label,category_3,n_meshes,n_donors,n_receivers,surplus_twh,deficit_twh,imported_twh,surplus_share,deficit_share,receipt_share_pct,surplus_share_pct
tp030,5.0,metropolitan_core,5358,11,5347,0.23238201158663713,131.16792984947242,0.21995772557450177,0.1386904567120699,0.5019746543405097,17.610879366053265,13.869045671206989
tp030,5.0,regional_city,13653,162,13491,1.3013196595893106,123.60110395811076,0.9474811943827495,0.7766548567359728,0.4730167008557664,75.85992704869538,77.66548567359727
tp030,5.0,rural,1822,18,1804,0.14184268202404762,6.534856170287922,0.08154882791462595,0.08465468655195728,0.02500864480372388,6.529193585251353,8.465468655195728
