deployment,q001_mwh,q01_mwh,median_mwh,q99_mwh,q999_mwh
10,-92536.29271481305,-67283.19085135583,-8999.23172887888,-350.48812710194255,128.235153680153
15,-91825.00880052174,-66563.87787824374,-8815.49546893715,-315.4782743310847,651.0956259896606
20,-91113.72488623044,-65834.90174892353,-8621.817388049407,-254.64361153605236,1229.973940921515
30,-89716.70733131221,-64450.78705334905,-8216.004320787863,-57.51897088115977,2302.9743157853245
40,-88437.92918688906,-62957.1976331434,-7798.926571167176,371.6809725828725,3973.72585886212
50,-87168.05016058202,-61571.23139479277,-7413.9808044568135,985.6275700746045,5769.8482263413425
100,-80082.0855431786,-54575.82243971047,-5411.610803267724,5451.075628307787,14602.064525111533
