alpha_label,alpha,lambda_km,lambda_label,cssr_mean,cssr_median,cpi_mean,cpi_median,cpi_std,cpi_p10,cpi_p90,cpi_gini,ssr_mean,donor_fraction,sur,total_surplus_kwh,total_imported_kwh,deployment,transfer_twh,sur_pct,donor_pct
tp010,0.1,5.0,5.0,0.04538334827877073,0.03474002484748174,0.0016273052225045045,0.0003533793675620095,0.003819496212541288,3.65765739217816e-06,0.004227426725762448,0.7706997680560341,0.04375604305626622,0.0013440215043440695,0.9913007616297185,121119607.25826287,120065958.92340869,10,0.12006595892340868,99.13007616297185,0.13440215043440695
tp015,0.15,5.0,5.0,0.06677299440552129,0.0531864944103796,0.0036990164556648733,0.0010752866173660974,0.007363252371319039,3.6573303216583274e-05,0.009876611031145802,0.7253858764457961,0.06307397794985642,0.0025920414726635626,0.9685409639310012,313130683.6288302,303279894.1582386,15,0.3032798941582386,96.85409639310012,0.25920414726635627
tp020,0.2,5.0,5.0,0.087301594044064,0.07250421721259186,0.006249418117333869,0.0022491455890896322,0.010946934420878055,0.00012159557591980286,0.01682632706748596,0.687865487800714,0.08105217592673011,0.004080065281044497,0.9182969905500883,614578980.5535256,564366028.2976438,20,0.5643660282976438,91.82969905500883,0.40800652810444965
tp030,0.3,5.0,5.0,0.12496881352718997,0.11259999421553998,0.011738824002193211,0.005387351479948371,0.0173033816252341,0.0005015336349151858,0.0313628292272598,0.6314421467059104,0.11322998952499676,0.009168146690347045,0.7454320770170737,1675544353.1999955,1249004507.3401017,30,1.2490045073401017,74.54320770170737,0.9168146690347045
tp040,0.4,5.0,5.0,0.157122379803639,0.1495693457465274,0.016593839885435543,0.008235186842394715,0.022440819714067754,0.0011652608591180174,0.04422008925967879,0.6011046540393303,0.14052853991820347,0.015216243459895359,0.5573777507038224,3601272978.358049,2007269432.347666,40,2.007269432347666,55.73777507038224,1.5216243459895358
tp050,0.5,5.0,5.0,0.18359373112741342,0.17960788980606113,0.020219303363198327,0.010182544957915957,0.02651006607667937,0.0016664054483121363,0.05417248549473063,0.5914445474086454,0.16337442776421512,0.021408342533480534,0.4091589045361048,6562951220.046335,2685289931.7180624,50,2.6852899317180623,40.91589045361048,2.1408342533480536
tp100,1.0,5.0,5.0,0.2585551427439237,0.25580870414509865,0.024926827929303712,0.01081888794697164,0.035863899991872616,0.0016867140887883996,0.06930810249808876,0.6276796357371668,0.23362831481462004,0.06624105985695772,0.11412802268625957,34296086749.551605,3914144566.602762,100,3.9141445666027623,11.412802268625958,6.624105985695772
