alpha_label,lambda_label,ssr_decile,n_meshes,mean_ssr,mean_cpi,total_imported_twh,share_of_total_transfer_flow,receipt_share_pct
tp030,5.0,1,2084,0.026023385583841523,0.026630463480355776,0.10270011775369979,0.08222668150963712,8.222668150963711
tp030,5.0,2,2083,0.05178553671684902,0.014096172752523426,0.10180705981384774,0.08151165612898491,8.15116561289849
tp030,5.0,3,2083,0.06751947266464849,0.010495405509976116,0.10758939791356352,0.08614127568255392,8.614127568255391
tp030,5.0,4,2083,0.08087556984757124,0.010229837373870588,0.12837133358996783,0.10278029853270931,10.278029853270931
tp030,5.0,5,2084,0.09393879003092398,0.009937744205607588,0.1542557103418547,0.12350458249465426,12.350458249465426
tp030,5.0,6,2083,0.1080074837405983,0.010041609948315128,0.1720791152340471,0.13777486250545604,13.777486250545603
tp030,5.0,7,2083,0.12361897180841652,0.01014362637904719,0.16560304845032298,0.13258981021430385,13.258981021430385
tp030,5.0,8,2083,0.14338148573968976,0.010418687368496595,0.16483814220265197,0.1319773892766491,13.19773892766491
tp030,5.0,9,2083,0.17520473602245576,0.010031814086483053,0.11757746077770136,0.09413820189832849,9.41382018983285
tp030,5.0,10,2084,0.26192420557571455,0.005359656933285146,0.03416636179422029,0.02735524175672308,2.735524175672308
