technical_potential_pct,support,transfer_twh
10,baseline_mesh,0.12006595892340868
10,edge_deletion_mesh,0.11686657967163398
10,municipality_node,2.2445618909849464e-07
15,baseline_mesh,0.3032798941582386
15,edge_deletion_mesh,0.28937360561305536
15,municipality_node,0.0009792844213507013
20,baseline_mesh,0.5643660282976438
20,edge_deletion_mesh,0.5275727727790105
20,municipality_node,0.015126735884723736
30,baseline_mesh,1.2490045073401017
30,edge_deletion_mesh,1.1244209495755657
30,municipality_node,0.15684567666171617
40,baseline_mesh,2.007269432347666
40,edge_deletion_mesh,1.7633251484024652
40,municipality_node,0.44434422148852204
50,baseline_mesh,2.6852899317180623
50,edge_deletion_mesh,2.327940628054108
50,municipality_node,0.7902185041579025
100,baseline_mesh,3.9141445666027623
100,edge_deletion_mesh,3.3844325529082497
100,municipality_node,1.3353389536955271
