alpha_label,sigma_ssr,sigma_cssr,sigma_convergence,deployment
tp010,0.8481371946099052,0.7401680244555676,0.8726984610031195,10
tp030,0.791017392373011,0.5445076825889253,0.6883637298485064,30
tp100,0.6318130763426064,0.20592201179106095,0.3259223645434617,100
