alpha_label,alpha,lambda_km,lambda_label,cssr_mean,cssr_median,cpi_mean,cpi_median,cpi_std,cpi_p10,cpi_p90,cpi_gini,ssr_mean,donor_fraction,sur,total_surplus_kwh,total_imported_kwh
tp015,0.15,5.0,5.0,0.0667729944055212,0.0531864944103796,0.0036990164556648,0.001075286617366,0.007363252371319,3.657330321658328e-05,0.0098766110311458,0.7253858764457961,0.0630739779498564,0.0025920414726635,0.9685409639310012,313130683.6288302,303279894.1582386
tp015,0.15,inf,inf,0.0640067882540107,0.0515421688551232,0.0009328103041542,0.0009910402624182,0.0003139161613148,0.0004901718691392,0.0012629110002994,0.1824570459396293,0.0630739779498564,0.0025920414726635,1.0000000000000004,313130683.6288302,313130683.62883025
