urban_form_scenario,label,category_3,n_meshes,sr_ceiling_mean,sr_ceiling_median,avg_floors_mean,gen_total_twh,dem_total_twh,net_twh,donor_pct
S0,Status Quo,metropolitan_core,5358,0.2523241814302284,0.2377917439033373,4.511497456455228,42.00196078011927,143.69406753221668,-101.69210675209742,0.0265024262784621
S0,Status Quo,regional_city,13653,0.3447842757192954,0.3393484220876253,3.428801229612402,56.88205529785669,139.17287262621895,-82.29081732836224,0.080934593129715
S0,Status Quo,rural,1822,0.4322125480389217,0.4631237795460615,2.58624129613607,3.166492536331044,7.333921520129356,-4.167428983798311,0.097694840834248
S1,Compact Vertical City,metropolitan_core,5358,0.2357397219198689,0.2377917439033373,5.526768682152266,40.06843755252131,155.46932429946378,-115.40088674694248,0.0169839492347891
S1,Compact Vertical City,regional_city,13653,0.3447842757192953,0.3393484220876253,3.428801229612402,56.88205529785669,127.98706844725312,-71.10501314939644,0.091628213579433
S1,Compact Vertical City,rural,1822,0.4322125480389217,0.4631237795460615,2.58624129613607,3.166492536331044,6.744468931848044,-3.577976395517,0.1136114160263446
S1m,Compact Vertical (morphology only),metropolitan_core,5358,0.2357397219198689,0.2377917439033373,5.526768682152266,37.16815271112437,155.46932429946378,-118.3011715883394,0.0128779395296752
S1m,Compact Vertical (morphology only),regional_city,13653,0.3447842757192953,0.3393484220876253,3.428801229612402,56.88205529785669,127.98706844725312,-71.10501314939644,0.091628213579433
S1m,Compact Vertical (morphology only),rural,1822,0.4322125480389217,0.4631237795460615,2.58624129613607,3.166492536331044,6.744468931848044,-3.577976395517,0.1136114160263446
S2,TOD Polycentric Network,metropolitan_core,5358,0.2663841109375129,0.25,4.104201585348684,64.01486048006609,138.34577873668658,-74.33091825662048,0.0649496080627099
S2,TOD Polycentric Network,regional_city,13653,0.3465769334761,0.3385207688074097,3.290524114947412,76.91745057926529,144.37233913884245,-67.45488855957714,0.1330843038160111
S2,TOD Polycentric Network,rural,1822,0.4367390392057619,0.4630086253864456,2.494700568864339,4.065536155911747,7.482743803035944,-3.417207647124198,0.1344676180021954
S2m,TOD Polycentric (morphology only),metropolitan_core,5358,0.2663841109375129,0.25,4.104201585348684,46.7090740090737,138.34577873668658,-91.63670472761288,0.0388204553938036
S2m,TOD Polycentric (morphology only),regional_city,13653,0.3465769334761,0.3385207688074097,3.290524114947412,59.82721404915469,144.37233913884245,-84.54512508968774,0.093239581044459
S2m,TOD Polycentric (morphology only),rural,1822,0.4367390392057619,0.4630086253864456,2.494700568864339,3.3590020879443587,7.482743803035944,-4.123741715091586,0.102085620197585
S3,Solar Community (mild),metropolitan_core,5358,0.25701768750923,0.2377917439033373,4.275809184478822,47.62353492457057,141.56656301785583,-93.94302809328526,0.0558044046285927
S3,Solar Community (mild),regional_city,13653,0.3447842757192953,0.3393484220876253,3.428801229612402,68.25846635742802,141.19387729370945,-72.93541093628141,0.1036402255914451
S3,Solar Community (mild),rural,1822,0.4322125480389217,0.4631237795460615,2.58624129613607,3.166492536331044,7.440421366999645,-4.273928830668601,0.0965971459934138
S3m,Solar Community (morphology only),metropolitan_core,5358,0.25701768750923,0.2377917439033373,4.275809184478822,43.82971172579541,141.56656301785583,-97.73685129206042,0.0412467338559163
S3m,Solar Community (morphology only),regional_city,13653,0.3447842757192953,0.3393484220876253,3.428801229612402,56.88205529785669,141.19387729370945,-84.31182199585275,0.07910349373764
S3m,Solar Community (morphology only),rural,1822,0.4322125480389217,0.4631237795460615,2.58624129613607,3.166492536331044,7.440421366999645,-4.273928830668601,0.0965971459934138
