deployment_pct,log1p_mismatch,density
10,0.0230756025842063,1.0
10,0.0692268077526189,0.002444625527816875
10,0.1153780129210315,0.001481591228979924
10,0.1615292180894441,0.0011852729831839399
10,0.20768042325785668,0.0008148751759389585
10,0.2538316284262693,0.0003703978072449809
10,0.2999828335946819,0.0009630342988369509
10,0.34613403876309445,0.00037039780724498116
10,0.3922852439315071,0.0005185569301429736
10,0.43843644909991963,0.0005185569301429736
10,0.4845876542683323,0.0007407956144899623
10,0.5307388594367448,0.0007407956144899614
10,0.5768900646051575,0.0004444773686939779
10,0.6230412697735701,0.0005926364915919691
10,0.6691924749419826,0.0005185569301429741
10,0.7153436801103952,0.0007407956144899614
10,0.7614948852788079,0.0008148751759389575
10,0.8076460904472205,0.0006667160530409668
10,0.853797295615633,0.0006667160530409652
10,0.8999485007840456,0.0003703978072449816
10,0.9460997059524583,0.0005926364915919691
10,0.9922509111208708,0.00022223868434698894
10,1.0384021162892834,0.0005926364915919705
10,1.0845533214576961,0.0003703978072449798
10,1.1307045266261087,0.0005185569301429741
10,1.1768557317945212,0.0005926364915919705
10,1.2230069369629337,0.0002222386843469879
10,1.2691581421313465,0.0004444773686939779
10,1.315309347299759,0.0008889547373879558
10,1.3614605524681715,0.0007407956144899632
10,1.4076117576365843,0.0005926364915919677
10,1.4537629628049968,0.0008148751759389594
10,1.4999141679734094,0.0011111934217349448
10,1.546065373141822,0.0009630342988369476
10,1.5922165783102347,0.0006667160530409668
10,1.6383677834786472,0.0007407956144899632
10,1.6845189886470597,0.0011111934217349448
10,1.7306701938154725,0.001629750351877911
10,1.776821398983885,0.002370545966367882
10,1.8229726041522976,0.002518705089265875
10,1.86912380932071,0.005037410178531725
10,1.9152750144891229,0.007259797022001639
10,1.9614262196575354,0.018668049485147074
10,2.007577424825948,0.053485443366175334
10,2.0537286299943602,0.18401363063930687
10,2.099879835162773,0.16238239869619991
10,2.1460310403311857,0.015927105711534054
10,2.1921822454995983,0.007407956144899631
10,2.2383334506680113,0.005852285354470709
10,2.2844846558364234,0.0031113415808578454
10,2.3306358610048363,0.0017038299133269154
10,2.3767870661732484,0.0022223868434698897
10,2.4229382713416614,0.0028150233350618596
10,2.469089476510074,0.0020001481591228813
10,2.5152406816784865,0.002000148159122901
10,2.5613918868468994,0.001185272983183941
10,2.6075430920153115,0.000963034298836952
10,2.6536942971837245,0.001185272983183941
10,2.6998455023521366,0.0008889547373879558
10,2.7459967075205496,0.0008889547373879558
10,2.792147912688962,0.0011852729831839297
10,2.8382991178573747,0.000963034298836952
10,2.8844503230257876,0.001185272983183941
10,2.9306015281941997,0.0010371138602859483
10,2.9767527333626127,0.0010371138602859483
10,3.022903938531025,0.0008889547373879558
10,3.0690551436994378,0.0005926364915919705
10,3.1152063488678503,0.0010371138602859385
10,3.161357554036263,0.000963034298836952
10,3.207508759204676,0.000963034298836952
10,3.253659964373088,0.0011111934217349448
10,3.299811169541501,0.0010371138602859483
10,3.345962374709913,0.000963034298836952
10,3.392113579878326,0.0005926364915919705
10,3.4382647850467385,0.0009630342988369428
10,3.484415990215151,0.0006667160530409668
10,3.530567195383564,0.0008148751759389594
10,3.576718400551976,0.0010371138602859483
10,3.622869605720389,0.0005926364915919705
10,3.669020810888801,0.0008889547373879558
10,3.715172016057214,0.000963034298836952
10,3.7613232212256267,0.001481591228979912
10,3.807474426394039,0.001185272983183941
10,3.853625631562452,0.00029631824579598524
10,3.8997768367308643,0.0006667160530409668
10,3.9459280418992773,0.0005926364915919705
10,3.99207924706769,0.000740795614489956
10,4.038230452236102,0.0004444773686939822
10,4.084381657404515,0.0005926364915919648
10,4.130532862572927,0.0004444773686939822
10,4.1766840677413395,0.0005926364915919648
10,4.2228352729097525,0.0007407956144899702
10,4.2689864780781654,0.0002963182457959824
10,4.3151376832465775,0.0005926364915919648
10,4.3612888884149905,0.0004444773686939822
10,4.4074400935834035,0.0002963182457959824
10,4.453591298751816,0.0004444773686939822
10,4.499742503920228,7.40795614489956e-05
10,4.545893709088641,7.407956144899703e-05
10,4.592044914257054,0.0021483072820208727
15,0.0230756025842063,1.0
15,0.0692268077526189,0.0030004616094783817
15,0.1153780129210315,0.002769656870287736
15,0.1615292180894441,0.0024619172180335444
15,0.20768042325785668,0.0019233728265887061
15,0.2538316284262693,0.0011540236959532231
15,0.2999828335946819,0.0011540236959532238
15,0.34613403876309445,0.0008462840436990307
15,0.3922852439315071,0.0006924142175719341
15,0.43843644909991963,0.000923218956762579
15,0.4845876542683323,0.0011540236959532238
15,0.5307388594367448,0.000923218956762578
15,0.5768900646051575,0.0006924142175719351
15,0.6230412697735701,0.000923218956762578
15,0.6691924749419826,0.001538698261270967
15,0.7153436801103952,0.0003846745653177408
15,0.7614948852788079,0.0013078935220803185
15,0.8076460904472205,0.0010001538698261284
15,0.853797295615633,0.0008462840436990297
15,0.8999485007840456,0.0008462840436990318
15,0.9460997059524583,0.0013848284351438667
15,0.9922509111208708,0.0009232189567625801
15,1.0384021162892834,0.0016156331743345154
15,1.0845533214576961,0.0010001538698261236
15,1.1307045266261087,0.0010770887828896766
15,1.1768557317945212,0.0008462840436990318
15,1.2230069369629337,0.0010001538698261236
15,1.2691581421313465,0.0008462840436990318
15,1.315309347299759,0.0007693491306354835
15,1.3614605524681715,0.0009232189567625801
15,1.4076117576365843,0.0007693491306354797
15,1.4537629628049968,0.0010001538698261284
15,1.4999141679734094,0.0012309586090167735
15,1.546065373141822,0.0013078935220803155
15,1.5922165783102347,0.001538698261270967
15,1.6383677834786472,0.001307893522080322
15,1.6845189886470597,0.0013848284351438702
15,1.7306701938154725,0.0016925680873980554
15,1.776821398983885,0.002615787044160644
15,1.8229726041522976,0.0027696568702877404
15,1.86912380932071,0.005539313740575454
15,1.9152750144891229,0.007539621480227738
15,1.9614262196575354,0.0186182489613787
15,2.007577424825948,0.05262348053546707
15,2.0537286299943602,0.18372057239575343
15,2.099879835162773,0.1602554239113712
15,2.1460310403311857,0.017387290352361758
15,2.1921822454995983,0.010078473611324832
15,2.2383334506680113,0.007078012001846448
15,2.2844846558364234,0.004923834436067094
15,2.3306358610048363,0.004154485305431611
15,2.3767870661732484,0.0027696568702877404
15,2.4229382713416614,0.003923680566240965
15,2.469089476510074,0.0030004616094783565
15,2.5152406816784865,0.00230804739190645
15,2.5613918868468994,0.001307893522080322
15,2.6075430920153115,0.002461917218033547
15,2.6536942971837245,0.0020772426527158054
15,2.6998455023521366,0.0013848284351438702
15,2.7459967075205496,0.0020772426527158054
15,2.792147912688962,0.002461917218033523
15,2.8382991178573747,0.0021541775657793532
15,2.8844503230257876,0.0026927219572241918
15,2.9306015281941997,0.001538698261270967
15,2.9767527333626127,0.001538698261270967
15,3.022903938531025,0.001769503000461612
15,3.0690551436994378,0.001154023695953225
15,3.1152063488678503,0.0020003077396522377
15,3.161357554036263,0.0010770887828896766
15,3.207508759204676,0.0019233728265887085
15,3.253659964373088,0.001307893522080322
15,3.299811169541501,0.0014617633482074184
15,3.345962374709913,0.002384982304969999
15,3.392113579878326,0.0019233728265887085
15,3.4382647850467385,0.0018464379135251425
15,3.484415990215151,0.0016156331743345154
15,3.530567195383564,0.002231112478842902
15,3.576718400551976,0.0013848284351438702
15,3.622869605720389,0.0013848284351438702
15,3.669020810888801,0.001538698261270967
15,3.715172016057214,0.001307893522080322
15,3.7613232212256267,0.001538698261270952
15,3.807474426394039,0.0016156331743345154
15,3.853625631562452,0.0016925680873980636
15,3.8997768367308643,0.0014617633482074184
15,3.9459280418992773,0.001307893522080322
15,3.99207924706769,0.0013848284351438568
15,4.038230452236102,0.0020003077396522763
15,4.084381657404515,0.0016156331743344997
15,4.130532862572927,0.0010770887828896872
15,4.1766840677413395,0.0010001538698261188
15,4.2228352729097525,0.0006154793045083926
15,4.2689864780781654,0.0008462840436990236
15,4.3151376832465775,0.0010001538698261188
15,4.3612888884149905,0.0008462840436990398
15,4.4074400935834035,0.000769349130635476
15,4.453591298751816,0.0006924142175719417
15,4.499742503920228,0.0005385443914448332
15,4.545893709088641,7.693491306354908e-05
15,4.592044914257054,0.0022311124788428807
20,0.0230756025842063,1.0
20,0.0692268077526189,0.007028440666884603
