center_lon,center_lat,value,count,v0_lon,v0_lat,v1_lon,v1_lat,v2_lon,v2_lat,v3_lon,v3_lat,v4_lon,v4_lat,v5_lon,v5_lat
138.98343749831812,35.25893518518518,0.052515191066739846,1.0,139.00679687336483,35.25006172839505,139.00679687336483,35.26780864197531,138.98343749831812,35.27668209876543,138.96007812327142,35.26780864197531,138.96007812327142,35.25006172839505,138.98343749831812,35.24118827160493
138.98343749831812,35.95106481481481,0.2587434446583978,1.0,139.00679687336483,35.94219135802469,139.00679687336483,35.95993827160494,138.98343749831812,35.96881172839506,138.96007812327142,35.95993827160494,138.96007812327142,35.94219135802469,138.98343749831812,35.93331790123457
139.03015624841157,35.20569444444444,0.0,1.0,139.05351562345828,35.19682098765431,139.05351562345828,35.21456790123457,139.03015624841157,35.22344135802469,139.00679687336486,35.21456790123457,139.00679687336486,35.19682098765431,139.03015624841157,35.18794753086419
139.03015624841157,35.25893518518518,0.09483662480829819,3.0,139.05351562345828,35.25006172839505,139.05351562345828,35.26780864197531,139.03015624841157,35.27668209876543,139.00679687336486,35.26780864197531,139.00679687336486,35.25006172839505,139.03015624841157,35.24118827160493
139.03015624841157,35.36541666666666,0.02742341259263196,1.0,139.05351562345828,35.356543209876534,139.05351562345828,35.37429012345679,139.03015624841157,35.38316358024691,139.00679687336486,35.37429012345679,139.00679687336486,35.356543209876534,139.03015624841157,35.347669753086414
139.03015624841157,35.95106481481481,0.18571184815301314,12.0,139.05351562345828,35.94219135802469,139.05351562345828,35.95993827160494,139.03015624841157,35.96881172839506,139.00679687336486,35.95993827160494,139.00679687336486,35.94219135802469,139.03015624841157,35.93331790123457
139.03015624841157,36.004305555555554,0.3366945950127757,15.0,139.05351562345828,35.99543209876543,139.05351562345828,36.01317901234568,139.03015624841157,36.0220524691358,139.00679687336486,36.01317901234568,139.00679687336486,35.99543209876543,139.03015624841157,35.98655864197531
139.03015624841157,36.057546296296294,0.300514743137146,6.0,139.05351562345828,36.04867283950617,139.05351562345828,36.06641975308642,139.03015624841157,36.07529320987654,139.00679687336486,36.06641975308642,139.00679687336486,36.04867283950617,139.03015624841157,36.03979938271605
139.076874998505,35.1524537037037,0.01738652574995992,9.0,139.1002343735517,35.14358024691357,139.1002343735517,35.161327160493826,139.076874998505,35.170200617283946,139.05351562345828,35.161327160493826,139.05351562345828,35.14358024691357,139.076874998505,35.13470679012345
139.076874998505,35.31217592592592,0.4640446837767466,3.0,139.1002343735517,35.303302469135794,139.1002343735517,35.32104938271605,139.076874998505,35.32992283950617,139.05351562345828,35.32104938271605,139.05351562345828,35.303302469135794,139.076874998505,35.294429012345674
139.076874998505,35.36541666666666,0.22047128489241022,11.0,139.1002343735517,35.356543209876534,139.1002343735517,35.37429012345679,139.076874998505,35.38316358024691,139.05351562345828,35.37429012345679,139.05351562345828,35.356543209876534,139.076874998505,35.347669753086414
139.076874998505,36.004305555555554,0.2508821671874429,35.0,139.1002343735517,35.99543209876543,139.1002343735517,36.01317901234568,139.076874998505,36.0220524691358,139.05351562345828,36.01317901234568,139.05351562345828,35.99543209876543,139.076874998505,35.98655864197531
139.076874998505,36.057546296296294,0.3445738937849431,18.0,139.1002343735517,36.04867283950617,139.1002343735517,36.06641975308642,139.076874998505,36.07529320987654,139.05351562345828,36.06641975308642,139.05351562345828,36.04867283950617,139.076874998505,36.03979938271605
139.076874998505,36.110787037037035,0.33814838174348677,1.0,139.1002343735517,36.10191358024691,139.1002343735517,36.11966049382716,139.076874998505,36.12853395061728,139.05351562345828,36.11966049382716,139.05351562345828,36.10191358024691,139.076874998505,36.09304012345679
139.076874998505,36.164027777777775,0.306453393698474,7.0,139.1002343735517,36.15515432098765,139.1002343735517,36.1729012345679,139.076874998505,36.18177469135802,139.05351562345828,36.1729012345679,139.05351562345828,36.15515432098765,139.076874998505,36.14628086419753
139.076874998505,36.217268518518516,0.3284123795867939,9.0,139.1002343735517,36.20839506172839,139.1002343735517,36.22614197530864,139.076874998505,36.23501543209876,139.05351562345828,36.22614197530864,139.05351562345828,36.20839506172839,139.076874998505,36.19952160493827
139.12359374859844,35.1524537037037,0.01557059530206017,25.0,139.14695312364515,35.14358024691357,139.14695312364515,35.161327160493826,139.12359374859844,35.170200617283946,139.10023437355173,35.161327160493826,139.10023437355173,35.14358024691357,139.12359374859844,35.13470679012345
139.12359374859844,35.20569444444444,0.30182571708875955,1.0,139.14695312364515,35.19682098765431,139.14695312364515,35.21456790123457,139.12359374859844,35.22344135802469,139.10023437355173,35.21456790123457,139.10023437355173,35.19682098765431,139.12359374859844,35.18794753086419
139.12359374859844,35.25893518518518,0.4422263337053216,16.0,139.14695312364515,35.25006172839505,139.14695312364515,35.26780864197531,139.12359374859844,35.27668209876543,139.10023437355173,35.26780864197531,139.10023437355173,35.25006172839505,139.12359374859844,35.24118827160493
139.12359374859844,35.31217592592592,0.4090464103522543,46.0,139.14695312364515,35.303302469135794,139.14695312364515,35.32104938271605,139.12359374859844,35.32992283950617,139.10023437355173,35.32104938271605,139.10023437355173,35.303302469135794,139.12359374859844,35.294429012345674
139.12359374859844,35.36541666666666,0.4226754821858347,6.0,139.14695312364515,35.356543209876534,139.14695312364515,35.37429012345679,139.12359374859844,35.38316358024691,139.10023437355173,35.37429012345679,139.10023437355173,35.356543209876534,139.12359374859844,35.347669753086414
139.12359374859844,36.004305555555554,0.36753042809341196,12.0,139.14695312364515,35.99543209876543,139.14695312364515,36.01317901234568,139.12359374859844,36.0220524691358,139.10023437355173,36.01317901234568,139.10023437355173,35.99543209876543,139.12359374859844,35.98655864197531
139.12359374859844,36.057546296296294,0.41214530587112796,1.0,139.14695312364515,36.04867283950617,139.14695312364515,36.06641975308642,139.12359374859844,36.07529320987654,139.10023437355173,36.06641975308642,139.10023437355173,36.04867283950617,139.12359374859844,36.03979938271605
139.12359374859844,36.110787037037035,0.19837002572005738,15.0,139.14695312364515,36.10191358024691,139.14695312364515,36.11966049382716,139.12359374859844,36.12853395061728,139.10023437355173,36.11966049382716,139.10023437355173,36.10191358024691,139.12359374859844,36.09304012345679
139.12359374859844,36.164027777777775,0.43841518771698834,7.0,139.14695312364515,36.15515432098765,139.14695312364515,36.1729012345679,139.12359374859844,36.18177469135802,139.10023437355173,36.1729012345679,139.10023437355173,36.15515432098765,139.12359374859844,36.14628086419753
139.12359374859844,36.217268518518516,0.4839542470984655,28.0,139.14695312364515,36.20839506172839,139.14695312364515,36.22614197530864,139.12359374859844,36.23501543209876,139.10023437355173,36.22614197530864,139.10023437355173,36.20839506172839,139.12359374859844,36.19952160493827
139.17031249869189,35.25893518518518,0.3151796493043154,27.0,139.1936718737386,35.25006172839505,139.1936718737386,35.26780864197531,139.17031249869189,35.27668209876543,139.14695312364518,35.26780864197531,139.14695312364518,35.25006172839505,139.17031249869189,35.24118827160493
139.17031249869189,35.31217592592592,0.43420206046651877,28.0,139.1936718737386,35.303302469135794,139.1936718737386,35.32104938271605,139.17031249869189,35.32992283950617,139.14695312364518,35.32104938271605,139.14695312364518,35.303302469135794,139.17031249869189,35.294429012345674
139.17031249869189,35.36541666666666,0.3118080226849852,19.0,139.1936718737386,35.356543209876534,139.1936718737386,35.37429012345679,139.17031249869189,35.38316358024691,139.14695312364518,35.37429012345679,139.14695312364518,35.356543209876534,139.17031249869189,35.347669753086414
139.17031249869189,35.4186574074074,0.44139544276693693,3.0,139.1936718737386,35.409783950617275,139.1936718737386,35.42753086419753,139.17031249869189,35.43640432098765,139.14695312364518,35.42753086419753,139.14695312364518,35.409783950617275,139.17031249869189,35.400910493827155
139.17031249869189,36.057546296296294,0.08206574377433,1.0,139.1936718737386,36.04867283950617,139.1936718737386,36.06641975308642,139.17031249869189,36.07529320987654,139.14695312364518,36.06641975308642,139.14695312364518,36.04867283950617,139.17031249869189,36.03979938271605
139.17031249869189,36.110787037037035,0.2756593448666771,15.0,139.1936718737386,36.10191358024691,139.1936718737386,36.11966049382716,139.17031249869189,36.12853395061728,139.14695312364518,36.11966049382716,139.14695312364518,36.10191358024691,139.17031249869189,36.09304012345679
139.17031249869189,36.164027777777775,0.38056302706034756,19.0,139.1936718737386,36.15515432098765,139.1936718737386,36.1729012345679,139.17031249869189,36.18177469135802,139.14695312364518,36.1729012345679,139.14695312364518,36.15515432098765,139.17031249869189,36.14628086419753
139.17031249869189,36.217268518518516,0.4761960778300557,30.0,139.1936718737386,36.20839506172839,139.1936718737386,36.22614197530864,139.17031249869189,36.23501543209876,139.14695312364518,36.22614197530864,139.14695312364518,36.20839506172839,139.17031249869189,36.19952160493827
139.2170312487853,35.25893518518518,0.4628010720452127,1.0,139.240390623832,35.25006172839505,139.240390623832,35.26780864197531,139.2170312487853,35.27668209876543,139.1936718737386,35.26780864197531,139.1936718737386,35.25006172839505,139.2170312487853,35.24118827160493
139.2170312487853,35.31217592592592,0.4479277755126545,17.0,139.240390623832,35.303302469135794,139.240390623832,35.32104938271605,139.2170312487853,35.32992283950617,139.1936718737386,35.32104938271605,139.1936718737386,35.303302469135794,139.2170312487853,35.294429012345674
139.2170312487853,35.36541666666666,0.3632818511369383,34.0,139.240390623832,35.356543209876534,139.240390623832,35.37429012345679,139.2170312487853,35.38316358024691,139.1936718737386,35.37429012345679,139.1936718737386,35.356543209876534,139.2170312487853,35.347669753086414
139.2170312487853,35.4186574074074,0.3167689777977272,1.0,139.240390623832,35.409783950617275,139.240390623832,35.42753086419753,139.2170312487853,35.43640432098765,139.1936718737386,35.42753086419753,139.1936718737386,35.409783950617275,139.2170312487853,35.400910493827155
139.2170312487853,35.52513888888888,0.11340725409482878,3.0,139.240390623832,35.516265432098756,139.240390623832,35.53401234567901,139.2170312487853,35.54288580246913,139.1936718737386,35.53401234567901,139.1936718737386,35.516265432098756,139.2170312487853,35.507391975308636
139.2170312487853,35.57837962962962,0.18706243930547758,7.0,139.240390623832,35.569506172839496,139.240390623832,35.58725308641975,139.2170312487853,35.59612654320987,139.1936718737386,35.58725308641975,139.1936718737386,35.569506172839496,139.2170312487853,35.560632716049376
139.2170312487853,35.63162037037037,0.07027518663978999,2.0,139.240390623832,35.622746913580244,139.240390623832,35.6404938271605,139.2170312487853,35.64936728395062,139.1936718737386,35.6404938271605,139.1936718737386,35.622746913580244,139.2170312487853,35.613873456790124
139.2170312487853,35.68486111111111,0.16263363387860688,1.0,139.240390623832,35.675987654320984,139.240390623832,35.69373456790124,139.2170312487853,35.70260802469136,139.1936718737386,35.69373456790124,139.1936718737386,35.675987654320984,139.2170312487853,35.667114197530864
139.2170312487853,35.73810185185185,0.32773015100881714,21.0,139.240390623832,35.729228395061725,139.240390623832,35.74697530864198,139.2170312487853,35.7558487654321,139.1936718737386,35.74697530864198,139.1936718737386,35.729228395061725,139.2170312487853,35.720354938271605
139.2170312487853,35.79134259259259,0.04762956758821018,18.0,139.240390623832,35.782469135802465,139.240390623832,35.80021604938272,139.2170312487853,35.80908950617284,139.1936718737386,35.80021604938272,139.1936718737386,35.782469135802465,139.2170312487853,35.773595679012345
139.2170312487853,35.84458333333333,0.0008847716904973445,2.0,139.240390623832,35.835709876543206,139.240390623832,35.85345679012346,139.2170312487853,35.86233024691358,139.1936718737386,35.85345679012346,139.1936718737386,35.835709876543206,139.2170312487853,35.826836419753086
