distance_km,correlation,null_low,null_high,n_pairs
1.25,0.3637519016951382,-0.03062898280209638,0.038337744847051346,2998
3.75,0.2830424023577661,-0.02266639310350145,0.02410945998980458,8332
6.25,0.22591111739955635,-0.014084648506084431,0.01377569574588106,13575
8.75,0.23752647826653334,-0.01439089451972997,0.011703412819207464,17160
11.25,0.20558883687041948,-0.01452236458039506,0.011375036637528622,20813
13.75,0.1938457923380162,-0.013082633731060783,0.011847375162938356,24731
16.25,0.19038862706439943,-0.0112085848120923,0.012925428774142109,27079
18.75,0.17272755313458044,-0.010914558939178046,0.010904238627075517,30276
21.25,0.15458259192773094,-0.011337014436735071,0.01185675657961079,31940
23.75,0.12903153539831916,-0.009619930132428066,0.009697887902110125,33983
26.25,0.10417062448444671,-0.009596769559378458,0.011617311020483665,35804
28.75,0.09808888484036496,-0.01009549130330516,0.010284435193493095,36999
31.25,0.0738679620788672,-0.010327982864598797,0.010754762503782588,38433
33.75,0.043127074267738284,-0.008409812067793883,0.009400746654571336,39309
36.25,0.013848583258496243,-0.010706284609110137,0.008510347579372968,39802
38.75,-0.004550410678505121,-0.00854045840360224,0.009299611644041373,40185
41.25,-0.022134875118619526,-0.010413637026219438,0.00893818963266423,40140
43.75,-0.047312729012138975,-0.009400322837495707,0.012161630204843352,39729
46.25,-0.06826187223080675,-0.009306249638968119,0.00984001322791687,39490
48.75,-0.07154440222785352,-0.009917521158631116,0.00888145236901449,39356
