deployment_pct,mass_at_one_pct,continuous_n
10,45.75913214611434,11300
15,43.96870349925599,11673
20,40.99745595929535,12292
30,32.31411702587241,14101
40,23.299572793164693,15979
50,17.03067249075985,17285
100,4.435270964335429,19909
