deployment_pct,p10,p25,median,p75,p90
10,1.0,1.0,1.0,1.0,1.0
15,0.9968446744731767,1.0,1.0,1.0,1.0
20,0.9695981448493151,1.0,1.0,1.0,1.0
30,0.8612815961382121,0.9797049584248929,1.0,1.0,1.0
40,0.7443538746570199,0.9241847753628827,0.9912076624405877,1.0,1.0
50,0.6497410820374677,0.8492816424063512,0.9641826398143302,0.999499853059925,1.0
100,0.3932694229834544,0.558510642693338,0.7245004992117617,0.8877935241872894,0.9842388148436163
