potential_pct,prevalence_pct,n_valid_meshes
0.0,0.0,20807
0.1,0.004806074878646609,20807
0.2,0.009612149757293218,20807
0.3,0.014418224635939827,20807
0.4,0.014418224635939827,20807
0.5,0.028836449271879654,20807
0.6,0.0528668236651127,20807
0.7000000000000001,0.07689719805834574,20807
0.8,0.08170327293699235,20807
0.9000000000000001,0.09612149757293219,20807
1.0,0.1057336473302254,20807
1.0999999999999999,0.12976402172345844,20807
1.2,0.1537943961166915,20807
1.3,0.16821262075263133,20807
1.4000000000000001,0.2018551449031576,20807
1.5,0.21627336953909743,20807
1.6,0.2499158936896237,20807
1.7000000000000002,0.27875234296150336,20807
1.8000000000000003,0.28355841784014996,20807
1.9,0.31239486711202963,20807
2.0,0.3268130917479694,20807
2.1,0.3460373912625559,20807
2.1999999999999997,0.37967991541308216,20807
2.3,0.3989042149276686,20807
2.4,0.4277406641995482,20807
2.5,0.4565771134714279,20807
2.6,0.4998317873792474,20807
2.7,0.55269861104436,20807
2.8000000000000003,0.6007593598308262,20807
2.9000000000000004,0.6344018839813524,20807
3.0,0.6728504830105253,20807
3.1,0.7161051569183448,20807
3.2,0.7593598308261643,20807
3.3000000000000003,0.8074205796126304,20807
3.4000000000000004,0.8410631037631566,20807
3.5000000000000004,0.8795117027923295,20807
3.6000000000000005,0.9227663767001489,20807
3.6999999999999997,1.0188878742730811,20807
3.8,1.0525303984236074,20807
3.9,1.0621425481809006,20807
4.0,1.1005911472100736,20807
4.1000000000000005,1.1294275964819531,20807
4.2,1.1630701206324794,20807
4.300000000000001,1.230355168933532,20807
4.3999999999999995,1.2688037679627049,20807
4.5,1.316864516749171,20807
4.6,1.3505070408996973,20807
4.7,1.3745374152929302,20807
4.8,1.4370163887153362,20807
4.9,1.4802710626231557,20807
5.0,1.5331378862882683,20807
5.1000000000000005,1.6052290094679675,20807
5.2,1.648483683375787,20807
5.3,1.68693228240496,20807
5.4,1.734993031191426,20807
5.5,1.8166963041284183,20807
5.6000000000000005,1.8599509780362378,20807
5.7,1.9032056519440572,20807
5.800000000000001,1.917623876579997,20807
5.9,1.9752967751237565,20807
6.0,2.0521939731821024,20807
6.1,2.090642572211275,20807
6.2,2.1483154707550343,20807
6.3,2.1819579949055607,20807
6.4,2.230018743692027,20807
6.5,2.2973037919930794,20807
6.6000000000000005,2.3790070649300716,20807
6.7,2.427067813716538,20807
6.800000000000001,2.4943528620175903,20807
6.9,2.52318931128947,20807
7.000000000000001,2.5904743595905226,20807
7.1000000000000005,2.667371557648868,20807
7.200000000000001,2.696208006920748,20807
7.3,2.782717354736387,20807
7.3999999999999995,2.8211659537655596,20807
7.5,2.893257076945259,20807
7.6,2.9317056759744315,20807
7.7,2.989378574518191,20807
7.8,3.0806939972124767,20807
7.9,3.1720094199067623,20807
8.0,3.239294468207815,20807
8.1,3.2777430672369876,20807
8.200000000000001,3.354640265295333,20807
8.3,3.4027010140817993,20807
8.4,3.489210361897438,20807
8.5,3.5468832604411977,20807
8.600000000000001,3.6237804584995432,20807
8.700000000000001,3.676647282164656,20807
8.799999999999999,3.7439323304657086,20807
8.9,3.7967991541308215,20807
9.0,3.835247753159994,20807
9.1,3.8833085019464604,20807
9.2,3.9409814004902195,20807
9.3,3.984236074398039,20807
9.4,4.0611332724563844,20807
9.5,4.109194021242851,20807
9.6,4.190897294179844,20807
9.700000000000001,4.287018791752775,20807
9.8,4.3639159898111215,20807
9.9,4.445619262748114,20807
10.0,4.536934685442399,20807
10.100000000000001,4.6186379583793915,20807
10.200000000000001,4.6859230066804445,20807
10.3,4.729177680588264,20807
10.4,4.801268803767963,20807
10.5,4.897390301340895,20807
10.6,4.969481424520594,20807
10.7,5.012736098428413,20807
10.8,5.0752150718508195,20807
10.9,5.147306195030518,20807
11.0,5.2290094679675105,20807
11.1,5.305906666025857,20807
11.200000000000001,5.363579564569616,20807
11.3,5.421252463113375,20807
11.4,5.498149661171721,20807
11.5,5.5510164848368335,20807
11.600000000000001,5.637525832652472,20807
11.700000000000001,5.714423030710819,20807
11.8,5.791320228769164,20807
11.9,5.844187052434277,20807
12.0,5.935502475128563,20807
12.1,6.012399673186908,20807
12.2,6.0941029461239005,20807
12.3,6.185418368818186,20807
12.4,6.276733791512472,20807
12.5,6.363243139328111,20807
12.6,6.43533426250781,20807
12.7,6.488201086172922,20807
12.8,6.560292209352622,20807
12.9,6.680444081318787,20807
13.0,6.728504830105253,20807
13.100000000000001,6.8054020281635985,20807
13.200000000000001,6.882299226221945,20807
13.3,6.9736146489162305,20807
13.4,7.060123996731869,20807
13.5,7.137021194790215,20807
13.600000000000001,7.25717306675638,20807
13.700000000000001,7.353294564329312,20807
13.8,7.444609987023598,20807
13.900000000000002,7.531119334839237,20807
14.000000000000002,7.636852982169462,20807
14.100000000000001,7.718556255106455,20807
14.200000000000001,7.819483827558034,20807
14.3,7.915605325130966,20807
14.400000000000002,7.992502523189311,20807
14.499999999999998,8.088624020762243,20807
14.6,8.20877589272841,20807
14.7,8.324121689815927,20807
14.799999999999999,8.40582496275292,20807
14.899999999999999,8.487528235689911,20807
15.0,8.535588984476378,20807
15.1,8.63171048204931,20807
15.2,8.74705627913683,20807
15.299999999999999,8.823953477195175,20807
15.4,8.88643245061758,20807
15.5,8.968135723554573,20807
15.6,9.05945114624886,20807
15.7,9.160378718700438,20807
15.8,9.22766376700149,20807
15.9,9.333397414331715,20807
16.0,9.429518911904648,20807
16.1,9.477579660691113,20807
16.2,9.520834334598932,20807
16.3,9.612149757293219,20807
16.400000000000002,9.727495554380738,20807
16.5,9.83803527658961,20807
16.6,9.91012639976931,20807
16.7,9.9918296727063,20807
16.8,10.09275724515788,20807
16.900000000000002,10.188878742730811,20807
17.0,10.30422453981833,20807
17.1,10.40515211226991,20807
17.200000000000003,10.554140433507953,20807
17.3,10.669486230595473,20807
17.400000000000002,10.789638102561637,20807
17.5,10.92901427404239,20807
17.599999999999998,11.044360071129908,20807
17.7,11.130869418945547,20807
17.8,11.284663815062238,20807
17.9,11.390397462392464,20807
18.0,11.544191858509155,20807
18.099999999999998,11.640313356082087,20807
18.2,11.741240928533667,20807
18.3,11.846974575863891,20807
18.4,11.923871773922238,20807
18.5,12.044023645888403,20807
18.6,12.154563368097275,20807
18.7,12.245878790791561,20807
18.8,12.327582063728553,20807
18.9,12.490988609602537,20807
19.0,12.630364781083289,20807
19.1,12.745710578170808,20807
19.2,12.846638150622386,20807
19.3,12.961983947709905,20807
19.400000000000002,13.115778343826596,20807
19.5,13.221511991156822,20807
19.6,13.356082087758928,20807
19.7,13.553131157783438,20807
19.8,13.668476954870957,20807
19.900000000000002,13.831883500744942,20807
20.0,13.9616475224684,20807
20.1,14.062575094919978,20807
20.200000000000003,14.187533041764791,20807
20.3,14.326909213245543,20807
20.400000000000002,14.466285384726294,20807
20.5,14.663334454750805,20807
20.6,14.807516701110202,20807
20.700000000000003,14.966117172105541,20807
20.8,15.100687268707647,20807
20.9,15.225645215552458,20807
21.0,15.389051761426442,20807
21.099999999999998,15.489979333878022,20807
21.2,15.614937280722833,20807
21.3,15.744701302446293,20807
21.4,15.879271399048397,20807
21.5,16.028259720286442,20807
21.6,16.182054116403133,20807
21.7,16.3022059883693,20807
21.8,16.45600038448599,20807
21.9,16.60018263084539,20807
22.0,16.7251405776902,20807
22.1,16.89335319844283,20807
22.2,17.075984043831404,20807
22.3,17.26342096409862,20807
22.400000000000002,17.383572836064786,20807
22.5,17.556591531696064,20807
22.6,17.67193732878358,20807
22.7,17.811313500264333,20807
22.8,17.936271447109146,20807
22.900000000000002,18.08525976834719,20807
23.0,18.248666314221175,20807
23.1,18.402460710337866,20807
23.200000000000003,18.4985822079108,20807
23.3,18.66679482866343,20807
23.400000000000002,18.81097707502283,20807
23.5,18.940741096746287,20807
23.6,19.13298409189215,20807
23.700000000000003,19.267554188494255,20807
23.8,19.493439707790646,20807
23.900000000000002,19.67126447830057,20807
24.0,19.82986494929591,20807
24.099999999999998,19.98846542029125,20807
24.2,20.175902340558466,20807
24.3,20.329696736675157,20807
24.4,20.545970106214256,20807
24.5,20.670928053059068,20807
24.6,20.786273850146586,20807
24.7,20.944874321141924,20807
24.8,21.108280867015907,20807
24.9,21.223626664103428,20807
25.0,21.367808910462823,20807
25.1,21.521603306579518,20807
25.2,21.67539770269621,20807
25.3,21.872446772720718,20807
25.4,22.05988369298794,20807
25.5,22.21367808910463,20807
25.6,22.386696784735907,20807
25.7,22.482818282308838,20807
25.8,22.631806603546885,20807
