deployment_pct,median_coincident_share,median_generation_demand_ratio
10,1.0,0.033681828208290764
15,1.0,0.050522742312440354
20,1.0,0.06736365641658153
30,1.0,0.10104548462488071
40,0.9912076624405877,0.1347273128331631
50,0.9641826398143302,0.168409141041481
100,0.7245004992117617,0.3368182820829531
