category_3,n_meshes,alpha,radius_km,surplus_frequency_solar_mean,surplus_day_frequency_mean,recurrent_share_f010_s005,surplus_twh,solar_shortfall_twh,lr_energy_weighted,da_shortfall_weighted
metropolitan_core,5358,0.3,5.0,0.0284378221634794,0.0780769066020475,0.0746547219111608,0.2323820115866371,56.85187104240582,0.9999982120189346,0.1635074318383095
regional_city,13653,0.3,5.0,0.0751811957494041,0.1821957903525276,0.1991503698820772,1.3013196595893106,49.39573214063388,0.9981972007611613,0.3424178503615785
rural,1822,0.3,5.0,0.0847208123887563,0.1976435550916845,0.2398463227222832,0.1418426820240476,2.5526203425233507,0.9885221335629132,0.3429107481849218
