deployment_pct,recurrent_share,receiver_availability
10,0.026160418566697,0.0795548192401148
15,0.049968799500792,0.1353130483092303
20,0.0812172994767916,0.1823404809436564
30,0.1706907310516968,0.2489425473570072
40,0.3007248115969855,0.2882887670267554
50,0.4427590841453463,0.3113067187547925
100,0.8367013872221956,0.34043229708721
