deployment_pct,coincident_generation_share,density
10,0.005,0.00654704170708051
10,0.015,0.0
10,0.025,0.0
10,0.035,0.00048496605237633393
10,0.045,0.0
10,0.055,0.0
10,0.065,0.0
10,0.07500000000000001,0.0
10,0.08499999999999999,0.0004849660523763343
10,0.095,0.0
10,0.10500000000000001,0.0
10,0.11499999999999999,0.0
10,0.125,0.0
10,0.135,0.00024248302618816683
10,0.14500000000000002,0.0004849660523763349
10,0.155,0.0
10,0.165,0.0007274490785645004
10,0.175,0.0
10,0.185,0.0
10,0.195,0.0007274490785645004
10,0.20500000000000002,0.00024248302618816745
10,0.215,0.00048496605237633366
10,0.225,0.00024248302618816683
10,0.235,0.0007274490785645025
10,0.245,0.00048496605237633366
10,0.255,0.00024248302618816683
10,0.265,0.0007274490785645004
10,0.275,0.00048496605237633366
10,0.28500000000000003,0.0004849660523763363
10,0.295,0.00024248302618816683
10,0.305,0.00024248302618816683
10,0.315,0.0007274490785645004
10,0.325,0.0014548981571290008
10,0.335,0.0
10,0.34500000000000003,0.00048496605237633366
10,0.355,0.0004849660523763363
10,0.365,0.0009699321047526673
10,0.375,0.0007274490785645004
10,0.385,0.00048496605237633366
10,0.395,0.00048496605237633366
10,0.405,0.0007274490785645004
10,0.41500000000000004,0.00024248302618816816
10,0.425,0.0009699321047526673
10,0.435,0.00024248302618816683
10,0.445,0.0009699321047526673
10,0.455,0.00048496605237633366
10,0.465,0.0007274490785645004
10,0.475,0.001454898157129009
10,0.485,0.0007274490785645004
10,0.495,0.0009699321047526673
10,0.505,0.0007274490785645004
10,0.515,0.0009699321047526673
10,0.525,0.0009699321047526673
10,0.535,0.00024248302618816683
10,0.545,0.00048496605237633366
10,0.555,0.0016973811833171678
10,0.5650000000000001,0.0021823472356935015
10,0.575,0.0031522793404462034
10,0.585,0.0016973811833171678
10,0.595,0.001212415130940834
10,0.605,0.0021823472356935015
10,0.615,0.0007274490785645004
10,0.625,0.0021823472356935015
10,0.635,0.001212415130940834
10,0.645,0.001212415130940834
10,0.655,0.002667313288069835
10,0.665,0.0009699321047526673
10,0.675,0.0016973811833171678
10,0.685,0.0021823472356935015
10,0.6950000000000001,0.002667313288069835
10,0.7050000000000001,0.000969932104752678
10,0.715,0.0014548981571290008
10,0.725,0.002667313288069835
10,0.735,0.002424830261881668
10,0.745,0.0031522793404461687
10,0.755,0.002667313288069835
10,0.765,0.0029097963142580016
10,0.775,0.002667313288069835
10,0.785,0.0033947623666343357
10,0.795,0.0019398642095053346
10,0.805,0.0031522793404461687
10,0.8150000000000001,0.0038797284190106693
10,0.8250000000000001,0.003637245392822502
10,0.835,0.0043646944713870515
10,0.845,0.00533462657613967
10,0.855,0.004122211445198836
10,0.865,0.00533462657613967
10,0.875,0.0065470417070805035
10,0.885,0.008486905916585838
10,0.895,0.015033947623666343
10,0.905,0.013579049466537343
10,0.915,0.03540252182347235
10,0.925,0.5409796314258001
10,0.935,0.8918525703200775
10,0.9450000000000001,0.05674102812803103
10,0.9550000000000001,0.01794374393792454
10,0.965,0.013094083414161007
10,0.975,0.011639185257032007
10,0.985,0.016003879728419008
10,0.995,1.0
15,0.005,0.0065853658536585424
15,0.015,0.0
15,0.025,0.0002439024390243905
15,0.035,0.00024390243902439043
15,0.045,0.0
15,0.055,0.00024390243902439057
15,0.065,0.0
15,0.07500000000000001,0.0
15,0.08499999999999999,0.00024390243902439057
15,0.095,0.00024390243902439024
15,0.10500000000000001,0.00048780487804878114
15,0.11499999999999999,0.0007317073170731718
15,0.125,0.0
15,0.135,0.0004878048780487805
15,0.14500000000000002,0.00048780487804878184
15,0.155,0.0004878048780487805
15,0.165,0.0007317073170731706
15,0.175,0.00048780487804878184
15,0.185,0.000975609756097561
15,0.195,0.0004878048780487805
15,0.20500000000000002,0.00048780487804878184
15,0.215,0.00024390243902439024
15,0.225,0.000975609756097561
15,0.235,0.0014634146341463454
15,0.245,0.0004878048780487805
15,0.255,0.0007317073170731706
15,0.265,0.0007317073170731706
15,0.275,0.0012195121951219512
15,0.28500000000000003,0.0007317073170731747
15,0.295,0.000975609756097561
15,0.305,0.000975609756097561
15,0.315,0.0
15,0.325,0.0012195121951219512
15,0.335,0.0004878048780487805
15,0.34500000000000003,0.00024390243902439024
15,0.355,0.002439024390243916
15,0.365,0.0
15,0.375,0.0017073170731707317
15,0.385,0.0012195121951219512
15,0.395,0.000975609756097561
15,0.405,0.0007317073170731706
15,0.41500000000000004,0.0014634146341463495
15,0.425,0.003170731707317073
15,0.435,0.001951219512195122
15,0.445,0.0029268292682926825
15,0.455,0.0014634146341463412
15,0.465,0.001951219512195122
15,0.475,0.002439024390243916
15,0.485,0.0014634146341463412
15,0.495,0.0021951219512195124
15,0.505,0.0021951219512195124
15,0.515,0.0014634146341463412
15,0.525,0.0017073170731707317
15,0.535,0.0034146341463414634
15,0.545,0.001951219512195122
15,0.555,0.002682926829268293
15,0.5650000000000001,0.0021951219512195124
15,0.575,0.002682926829268322
15,0.585,0.0021951219512195124
15,0.595,0.001951219512195122
15,0.605,0.002682926829268293
15,0.615,0.0029268292682926825
15,0.625,0.0021951219512195124
15,0.635,0.0024390243902439024
15,0.645,0.002682926829268293
15,0.655,0.002682926829268293
15,0.665,0.004390243902439025
15,0.675,0.003902439024390244
15,0.685,0.0036585365853658534
15,0.6950000000000001,0.003902439024390244
15,0.7050000000000001,0.003658536585365894
15,0.715,0.004878048780487805
15,0.725,0.006585365853658536
15,0.735,0.003170731707317073
15,0.745,0.003902439024390244
15,0.755,0.004878048780487805
15,0.765,0.004634146341463415
15,0.775,0.003170731707317073
15,0.785,0.0060975609756097554
15,0.795,0.0036585365853658534
15,0.805,0.0060975609756097554
15,0.8150000000000001,0.004878048780487805
15,0.8250000000000001,0.006585365853658536
15,0.835,0.010243902439024503
15,0.845,0.00975609756097561
15,0.855,0.00878048780487805
15,0.865,0.008048780487804878
15,0.875,0.01146341463414634
15,0.885,0.01024390243902439
15,0.895,0.020975609756097562
15,0.905,0.02390243902439024
15,0.915,0.04756097560975609
15,0.925,0.526829268292683
15,0.935,0.858048780487805
15,0.9450000000000001,0.059024390243902436
15,0.9550000000000001,0.021951219512195367
15,0.965,0.016829268292682928
15,0.975,0.01829268292682927
15,0.985,0.028780487804878043
15,0.995,1.0
20,0.005,0.006420927467300837
20,0.015,0.00023781212841854954
20,0.025,0.0
20,0.035,0.00023781212841854948
20,0.045,0.00023781212841854948
20,0.055,0.0
20,0.065,0.0
20,0.07500000000000001,0.00047562425683709934
20,0.08499999999999999,0.0011890606420927481
20,0.095,0.0
20,0.10500000000000001,0.00047562425683709934
20,0.11499999999999999,0.000713436385255649
20,0.125,0.0007134363852556479
20,0.135,0.0007134363852556479
20,0.14500000000000002,0.0009512485136741999
20,0.155,0.0009512485136741973
20,0.165,0.00023781212841854932
20,0.175,0.0009512485136741999
20,0.185,0.0011890606420927466
20,0.195,0.00047562425683709864
20,0.20500000000000002,0.0011890606420927499
20,0.215,0.0011890606420927466
20,0.225,0.0011890606420927466
20,0.235,0.0009512485136741999
20,0.245,0.0009512485136741973
20,0.255,0.0007134363852556479
20,0.265,0.0007134363852556479
20,0.275,0.0014268727705112959
20,0.28500000000000003,0.0009512485136742026
20,0.295,0.0014268727705112959
20,0.305,0.0011890606420927466
20,0.315,0.0014268727705112959
20,0.325,0.0011890606420927466
20,0.335,0.0021403091557669436
20,0.34500000000000003,0.0030915576694411414
20,0.355,0.0023781212841855063
20,0.365,0.002615933412604043
20,0.375,0.002615933412604043
20,0.385,0.0019024970273483946
20,0.395,0.0023781212841854932
20,0.405,0.0023781212841854932
20,0.41500000000000004,0.0019024970273484052
20,0.425,0.0028537455410225917
20,0.435,0.0028537455410225917
20,0.445,0.0030915576694411414
20,0.455,0.0021403091557669436
20,0.465,0.0019024970273483946
20,0.475,0.0038049940546968104
20,0.485,0.0021403091557669436
20,0.495,0.0021403091557669436
20,0.505,0.0035671819262782394
20,0.515,0.0019024970273483946
20,0.525,0.0030915576694411414
20,0.535,0.0030915576694411414
20,0.545,0.004280618311533887
20,0.555,0.003804994054696789
20,0.5650000000000001,0.003329369797859691
20,0.575,0.0040428061831153835
20,0.585,0.003329369797859691
20,0.595,0.005469678953626635
20,0.605,0.005469678953626635
20,0.615,0.0035671819262782394
20,0.625,0.004280618311533887
20,0.635,0.0035671819262782394
20,0.645,0.004280618311533887
20,0.655,0.0035671819262782394
20,0.665,0.0040428061831153375
20,0.675,0.004994054696789536
20,0.685,0.004518430439952437
20,0.6950000000000001,0.004280618311533887
20,0.7050000000000001,0.005945303210463799
20,0.715,0.0057074910820451834
20,0.725,0.009274673008323424
20,0.735,0.005469678953626635
20,0.745,0.0073721759809750285
20,0.755,0.007609988109393578
20,0.765,0.005231866825208086
20,0.775,0.006658739595719382
20,0.785,0.007609988109393578
20,0.795,0.009036860879904874
20,0.805,0.007847800237812128
20,0.8150000000000001,0.007609988109393578
20,0.8250000000000001,0.012128418549346017
20,0.835,0.011652794292509046
20,0.845,0.011414982164090367
20,0.855,0.01498216409036861
20,0.865,0.015457788347205707
20,0.875,0.01854934601664685
20,0.885,0.021640903686087988
20,0.895,0.028537455410225916
20,0.905,0.0356718192627824
20,0.915,0.06373365041617121
20,0.925,0.5024970273483947
20,0.935,0.7766944114149821
20,0.9450000000000001,0.0535077288941736
20,0.9550000000000001,0.024732461355529402
20,0.965,0.018073721759809747
20,0.975,0.03258026159334126
20,0.985,0.044470868014268715
20,0.995,1.0
30,0.005,0.006279069767441866
30,0.015,0.00023255813953488395
30,0.025,0.000232558139534884
30,0.035,0.0002325581395348839
30,0.045,0.0002325581395348839
30,0.055,0.00046511627906976817
30,0.065,0.0009302325581395349
30,0.07500000000000001,0.00046511627906976817
30,0.08499999999999999,0.0013953488372093045
